File,Author,ChurnSize
components/camel-gson/src/main/java/org/apache/camel/component/gson,Hadrian Zbarcea,
components/camel-gson/src/test/java/org/apache/camel/component/gson,Hadrian Zbarcea,
components/camel-guava-eventbus,Hadrian Zbarcea,1814.0
components/camel-guava-eventbus/src/main/java/org/apache/camel/component/guava/eventbus,Hadrian Zbarcea,
components/camel-guice,Hadrian Zbarcea,1814.0
components/camel-guice/src/main/java/org/apache/camel/guice,Hadrian Zbarcea,
components/camel-hawtdb,Hadrian Zbarcea,1814.0
components/camel-hawtdb/src/test/java/org/apache/camel/component/hawtdb,Hadrian Zbarcea,
components/camel-hazelcast,Hadrian Zbarcea,1814.0
components/camel-hazelcast/src/main/java/org/apache/camel/component/hazelcast,Hadrian Zbarcea,
components/camel-hazelcast/src/main/java/org/apache/camel/component/hazelcast/listener,Hadrian Zbarcea,
components/camel-hazelcast/src/test/java/org/apache/camel/component/hazelcast,Hadrian Zbarcea,
components/camel-hazelcast/src/test/java/org/apache/camel/processor/idempotent/hazelcast,Hadrian Zbarcea,
components/camel-hazelcast/src/test/resources,Hadrian Zbarcea,
components/camel-hbase,Hadrian Zbarcea,1814.0
components/camel-hbase/src/main/java/org/apache/camel/component/hbase,Hadrian Zbarcea,22.0
components/camel-hbase/src/main/java/org/apache/camel/component/hbase/converter,Hadrian Zbarcea,
components/camel-hbase/src/main/java/org/apache/camel/component/hbase/filters,Hadrian Zbarcea,
components/camel-hbase/src/main/java/org/apache/camel/component/hbase/mapping,Hadrian Zbarcea,
components/camel-hbase/src/main/java/org/apache/camel/component/hbase/model,Hadrian Zbarcea,
components/camel-hbase/src/main/java/org/apache/camel/component/hbase/processor/idempotent,Hadrian Zbarcea,
components/camel-hbase/src/main/resources,Hadrian Zbarcea,32.0
components/camel-hbase/src/test/java/org/apache/camel/component/hbase,Hadrian Zbarcea,22.0
components/camel-hbase/src/test/java/org/apache/camel/component/hbase/processor/idempotent,Hadrian Zbarcea,
components/camel-hbase/src/test/resources,Hadrian Zbarcea,
components/camel-hdfs,Hadrian Zbarcea,1814.0
components/camel-hdfs/src/main/java/org/apache/camel/component/hdfs,Hadrian Zbarcea,
components/camel-hdfs/src/test/java/org/apache/camel/component/hdfs,Hadrian Zbarcea,
components/camel-hl7,Hadrian Zbarcea,1814.0
components/camel-http,Hadrian Zbarcea,1814.0
components/camel-http/src/main/java/org/apache/camel/component/http,Hadrian Zbarcea,34.0
components/camel-http4,Hadrian Zbarcea,1814.0
components/camel-http4/src/main/java/org/apache/camel/component/http4,Hadrian Zbarcea,34.0
components/camel-http4/src/test/java/org/apache/camel/component/http4,Hadrian Zbarcea,
components/camel-ibatis,Hadrian Zbarcea,1814.0
components/camel-ibatis/src/test/java/org/apache/camel/component/ibatis,Hadrian Zbarcea,
components/camel-irc,Hadrian Zbarcea,1814.0
components/camel-irc/src/main/java/org/apache/camel/component/irc,Hadrian Zbarcea,
components/camel-irc/src/test/java/org/apache/camel/component/irc,Hadrian Zbarcea,
components/camel-jackson,Hadrian Zbarcea,1814.0
components/camel-jackson/src/main/java/org/apache/camel/component/jackson,Hadrian Zbarcea,
components/camel-jackson/src/test/java/org/apache/camel/component/jackson,Hadrian Zbarcea,
components/camel-jasypt,Hadrian Zbarcea,1814.0
components/camel-javaspace,Hadrian Zbarcea,1814.0
components/camel-jaxb,Hadrian Zbarcea,1814.0
components/camel-jaxb/src/main/java/org/apache/camel/converter/jaxb,Hadrian Zbarcea,
components/camel-jaxb/src/main/resources/org/apache/camel/converter/jaxb,Hadrian Zbarcea,
components/camel-jaxb/src/test/java/org/apache/camel/converter/jaxb,Hadrian Zbarcea,
components/camel-jaxb/src/test/java/org/apache/camel/example,Hadrian Zbarcea,
components/camel-jaxb/src/test/resources/org/apache/camel/example,Hadrian Zbarcea,
components/camel-jaxb/src/test/resources/org/apache/camel/jaxb,Hadrian Zbarcea,
components/camel-jclouds,Hadrian Zbarcea,1814.0
components/camel-jclouds/src/main/java/org/apache/camel/component/jclouds,Hadrian Zbarcea,34.0
components/camel-jclouds/src/test/java/org/apache/camel/component/jclouds,Hadrian Zbarcea,
components/camel-jcr,Hadrian Zbarcea,1814.0
components/camel-jcr/src/main/java/org/apache/camel/component/jcr,Hadrian Zbarcea,
components/camel-jcr/src/test/resources,Hadrian Zbarcea,
components/camel-jdbc,Hadrian Zbarcea,3319.0
components/camel-jdbc/src/main/java/org/apache/camel/component/jdbc,Hadrian Zbarcea,
components/camel-jdbc/src/test/java/org/apache/camel/component/jdbc,Hadrian Zbarcea,34.0
components/camel-jdbc/src/test/resources/sql,Hadrian Zbarcea,
components/camel-jetty,Hadrian Zbarcea,1814.0
components/camel-jetty/src/main/java/org/apache/camel/component/jetty,Hadrian Zbarcea,
components/camel-jetty/src/test/java/org/apache/camel/component/jetty,Hadrian Zbarcea,
components/camel-jibx,Hadrian Zbarcea,1814.0
components/camel-jing,Hadrian Zbarcea,1814.0
components/camel-jing/src/main/java/org/apache/camel/component/validator/jing,Hadrian Zbarcea,
components/camel-jms,Hadrian Zbarcea,1814.0
components/camel-jms/src/main/java/org/apache/camel/component/jms,Hadrian Zbarcea,
components/camel-jms/src/main/java/org/apache/camel/component/jms/reply,Hadrian Zbarcea,
components/camel-jms/src/test/java/org/apache/camel/component/jms,Hadrian Zbarcea,5.0
components/camel-jms/src/test/java/org/apache/camel/component/jms/issues,Hadrian Zbarcea,
components/camel-jms/src/test/java/org/apache/camel/component/jms/tx,Hadrian Zbarcea,
components/camel-jms/src/test/resources,Hadrian Zbarcea,
components/camel-jmx,Hadrian Zbarcea,1814.0
components/camel-jmx/src/main/java/org/apache/camel/component/jmx,Hadrian Zbarcea,
components/camel-josql,Hadrian Zbarcea,1814.0
components/camel-jpa,Hadrian Zbarcea,1814.0
components/camel-jpa/src/main/java/org/apache/camel/component/jpa,Hadrian Zbarcea,
components/camel-jpa/src/test/java/org/apache/camel/component/jpa,Hadrian Zbarcea,
components/camel-jpa/src/test/resources/META-INF,Hadrian Zbarcea,
components/camel-jsch,Hadrian Zbarcea,1814.0
components/camel-jsch/src/main/java/org/apache/camel/component/jsch,Hadrian Zbarcea,192.0
components/camel-jsch/src/main/resources,Hadrian Zbarcea,32.0
components/camel-jsch/src/test/java/org/apache/camel/component/jsch,Hadrian Zbarcea,182.0
components/camel-jt400,Hadrian Zbarcea,1814.0
components/camel-jt400/src/main/java/org/apache/camel/component/jt400,Hadrian Zbarcea,
components/camel-jt400/src/test/java/org/apache/camel/component/jt400,Hadrian Zbarcea,
components/camel-juel,Hadrian Zbarcea,1814.0
components/camel-juel/src/test/java/org/apache/camel/processor/juel,Hadrian Zbarcea,
