File,Author,ChurnSize
src/main/java/org/apache/hadoop/hbase/rest/protobuf/generated,ramkrishna,
src/main/java/org/apache/hadoop/hbase/thrift,ramkrishna,
src/main/java/org/apache/hadoop/hbase/util,ramkrishna,
src/main/java/org/apache/hadoop/hbase/util/hbck,ramkrishna,
src/main/java/org/apache/hadoop/hbase/zookeeper,ramkrishna,
src/main/resources,ramkrishna,
src/main/resources/org/apache/hadoop/hbase/rest,ramkrishna,
src/main/resources/org/apache/hadoop/hbase/rest/protobuf,ramkrishna,
src/main/ruby/hbase,ramkrishna,
src/main/ruby/shell/commands,ramkrishna,
src/test/java/org/apache/hadoop/hbase,ramkrishna,
src/test/java/org/apache/hadoop/hbase/client,ramkrishna,47.0
src/test/java/org/apache/hadoop/hbase/coprocessor,ramkrishna,143.0
src/test/java/org/apache/hadoop/hbase/filter,ramkrishna,143.0
src/test/java/org/apache/hadoop/hbase/io/encoding,ramkrishna,
src/test/java/org/apache/hadoop/hbase/io/hfile,ramkrishna,
src/test/java/org/apache/hadoop/hbase/mapred,ramkrishna,
src/test/java/org/apache/hadoop/hbase/mapreduce,ramkrishna,
src/test/java/org/apache/hadoop/hbase/master,ramkrishna,41.0
src/test/java/org/apache/hadoop/hbase/regionserver,ramkrishna,
src/test/java/org/apache/hadoop/hbase/regionserver/handler,ramkrishna,
src/test/java/org/apache/hadoop/hbase/regionserver/wal,ramkrishna,
src/test/java/org/apache/hadoop/hbase/replication,ramkrishna,
src/test/java/org/apache/hadoop/hbase/replication/regionserver,ramkrishna,
src/test/java/org/apache/hadoop/hbase/rest/model,ramkrishna,
src/test/java/org/apache/hadoop/hbase/thrift,ramkrishna,
src/test/java/org/apache/hadoop/hbase/util,ramkrishna,
src/test/java/org/apache/hadoop/hbase/util/hbck,ramkrishna,
src/test/java/org/apache/hadoop/hbase/zookeeper,ramkrishna,
,Todd Lipcon,
bin,Todd Lipcon,
conf,Todd Lipcon,
dev-support,Todd Lipcon,
security/src/main/java/org/apache/hadoop/hbase/ipc,Todd Lipcon,
security/src/main/java/org/apache/hadoop/hbase/security/access,Todd Lipcon,
security/src/test/java/org/apache/hadoop/hbase/security/access,Todd Lipcon,
src/docbkx,Todd Lipcon,
src/main/java/org/apache/hadoop/hbase,Todd Lipcon,
src/main/java/org/apache/hadoop/hbase/client,Todd Lipcon,
src/main/java/org/apache/hadoop/hbase/client/coprocessor,Todd Lipcon,
src/main/java/org/apache/hadoop/hbase/client/replication,Todd Lipcon,
src/main/java/org/apache/hadoop/hbase/coprocessor,Todd Lipcon,
src/main/java/org/apache/hadoop/hbase/executor,Todd Lipcon,
src/main/java/org/apache/hadoop/hbase/filter,Todd Lipcon,
src/main/java/org/apache/hadoop/hbase/fs,Todd Lipcon,
src/main/java/org/apache/hadoop/hbase/io/hfile,Todd Lipcon,
src/main/java/org/apache/hadoop/hbase/ipc,Todd Lipcon,
src/main/java/org/apache/hadoop/hbase/mapred,Todd Lipcon,
src/main/java/org/apache/hadoop/hbase/mapreduce,Todd Lipcon,
src/main/java/org/apache/hadoop/hbase/master,Todd Lipcon,
src/main/java/org/apache/hadoop/hbase/master/handler,Todd Lipcon,
src/main/java/org/apache/hadoop/hbase/metrics,Todd Lipcon,
src/main/java/org/apache/hadoop/hbase/metrics/histogram,Todd Lipcon,
src/main/java/org/apache/hadoop/hbase/monitoring,Todd Lipcon,
src/main/java/org/apache/hadoop/hbase/regionserver,Todd Lipcon,
src/main/java/org/apache/hadoop/hbase/regionserver/handler,Todd Lipcon,
